,0,1,2,3
553,11403,,,
554,21436,,,
555,54400,,,
556,8625,,,
557,1181,,,
558,26235,,,
559,287,,,
560,837,,,
561,5729,,,
562,36747,,,
563,809,,,
564,14115,,,
565,49606,,,
566,49600,,,
567,310,,,
568,30267,,,
569,46391,,,
570,4146,,,
571,21356,,,
572,4005,,,
573,17416,,,
574,30423,,,
575,16313,,,
576,47199,,,
577,23818,,,
578,13385,,,
579,638,,,
580,31601,,,
581,1310,,,
582,20187,,,
583,2236,,,
584,19911,,,
585,20696,,,
586,13346,,,
587,41,,,
588,30155,,,
589,1583,,,
590,1931,,,
591,30507,,,
592,27034,,,
593,34811,,,
594,11824,,,
595,1015,,,
596,14237,,,
597,146,,,
598,2022,,,
599,32362,,,
600,46123,,,
601,20223,,,
602,33226,,,
603,237,,,
604,8995,,,
605,7458,,,
606,39695,,,
607,12677,,,
608,36790,,,
609,37361,,,
610,14909,,,
611,46,,,
612,16908,,,
613,8166,,,
614,15903,,,
615,463,,,
616,46254,,,
617,54998,,,
618,15685,,,
619,13463,,,
620,7609,,,
621,15699,,,
622,17944,,,
623,14294,,,
624,13841,,,
625,4647,,,
626,38748,,,
627,1525,,,
628,27528,,,
629,15825,,,
630,13833,,,
631,291,,,
632,14518,,,
633,23705,,,
634,5263,,,
635,59349,,,
636,47,,,
637,48095,,,
638,35528,,,
639,22174,,,
640,1076,,,
641,4869,,,
642,9622,,,
643,23757,,,
644,5279,,,
645,23597,,,
646,43037,,,
647,15135,,,
648,3553,,,
649,56,,,
650,8057,,,
651,20057,,,
652,14736,,,
653,17532,,,
654,767,,,
655,14361,,,
656,688,,,
657,4527,,,
658,20262,,,
659,21994,,,
660,12700,,,
661,2731,,,
662,498,,,
663,5873,,,
664,40265,,,
665,3246,,,
666,48,,,
667,50,,,
668,27060,,,
669,51716,,,
670,23373,,,
671,24464,,,
672,47096,,,
673,2861,,,
674,3488,,,
675,4914,,,
676,32121,32304.0,,
677,14046,,,
678,25118,,,
679,10593,,,
680,6200,,,
681,25649,,,
682,9566,,,
683,52286,,,
684,13178,,,
685,29224,,,
686,281,,,
687,8508,,,
688,14724,,,
689,1936,,,
690,7845,,,
691,36433,,,
692,12915,,,
693,19072,,,
694,32321,,,
695,2701,,,
696,31703,,,
697,22931,,,
698,6935,6936.0,,
699,48308,,,
700,46329,,,
701,33311,,,
702,3204,,,
703,28611,,,
704,22030,,,
705,23014,,,
706,54,,,
707,34659,,,
708,3503,,,
709,49377,,,
710,1882,,,
711,31691,,,
712,459,,,
713,55,,,
714,3691,,,
715,34244,,,
716,10503,,,
717,9333,,,
718,3180,,,
719,11739,,,
720,494,,,
721,46754,,,
722,2177,,,
723,17370,,,
724,1868,,,
725,18859,,,
726,20082,,,
727,30203,,,
728,4996,,,
729,25156,,,
730,25712,,,
731,16004,,,
732,321,,,
733,34749,,,
734,8888,,,
735,16064,,,
736,225,,,
737,60,,,
738,10750,,,
739,3852,,,
740,64,,,
741,6981,,,
742,32123,,,
743,1627,,,
744,1687,,,
745,24993,,,
746,10606,,,
747,22836,22837.0,,
748,55446,,,
749,65,,,
750,9262,,,
751,41675,,,
752,20697,,,
753,3464,,,
754,1366,,,
755,35747,,,
756,23202,23203.0,,
757,76,,,
758,56360,,,
759,55930,,,
760,9583,,,
761,364,,,
762,53537,,,
763,4815,,,
764,8924,,,
765,7762,,,
766,1733,,,
767,45012,,,
768,3517,,,
769,19923,,,
770,12402,,,
771,17785,,,
772,5128,,,
773,2440,,,
774,6520,,,
775,6794,,,
776,20019,,,
777,102,,,
778,3403,,,
779,23717,,,
780,4598,,,
781,56855,,,
782,42681,,,
783,12636,,,
